ClipNumber,Onset,Offset,Length,Hazard Location
PilotClip2,35329,37620,45100,Right
PilotClip3,23546,32400,49030,Right
PilotClip4,16110,19170,25110,Left
PilotClip6,29981,33970,41450,Left
PilotClip7,36290,40470,57220,Right
PilotClip8,43284,46980,57450,Centre-right
PilotClip9,18003,20130,33530,Centre
PilotClip10,32870,36070,42260,Left
PilotClip11,23601,26380,41460,Centre-right
PilotClip13,21498,25120,33350,Centre-left
PilotClip14,11176,12900,19300,Right
PilotClip15,17791,20570,38070,Centre-left
PilotClip16,13597,15630,23080,Centre-left
PilotClip17,12031,16380,24250,Centre-left
PilotClip18,29166,33580,45010,Left
PilotClip19,24901,27650,31120,Centre
PilotClip20,9260,13800,19300,Left/Centre
PilotClip21,24443,28830,41080,Left
PilotClip22,22684,25630,32370,Centre
PilotClip23,16874,18050,29370,Centre
NullClip1,0,0,41.08,None
NullClip2,0,0,32.37,None
NullClip3,0,0,29.37,None
NullClip4,0,0,46.37,None
